id,metadataid,satelliteid,sensorid,productid,imagingmode,sceneid,productlevel,cloudpercent,scenetime,strip,orbit,imagegsd,dataarchivedir,geom,satellitetype,sublevel,browsefilelocation,thumbfilelocation,satellite_sensor,stationlongi1,stationlati1,stationheigh1,starttime,endtime,rollsatelliteangle,pitchsatelliteangle,productname,bandsid,datasetid,orbitaccuracy,subsensorlist,areaname
a8c3d51d-727c-09a6-ff8d-27ec399e7284,GF1B-PMS-LEVEL1A-1228011703,GF1B,PMS,1228011703,,660332,1,18,2021-07-28,128863,17928,0.0,/ARCHIVE/GF1B/Product/LEVEL1A/PMS/20210728/GF1B_PMS_E107.0_N31.3_20210728_L1A1228011703.tar.gz,"POLYGON((106.696799 31.698699,107.384777 31.567847,107.227999 30.97087,106.544334 31.10133,106.696799 31.698699))",GX,LEVEL1A,/ARCHIVE/GF1B/Product/LEVEL1A/PMS/20210728/GF1B_PMS_E107.0_N31.3_20210728_L1A1228011703.jpg,/ARCHIVE/GF1B/Product/LEVEL1A/PMS/20210728/GF1B_PMS_E107.0_N31.3_20210728_L1A1228011703_thumb.jpg,GF1B_PMS,,,,2021-07-28T03:55:45.000+0000,2021-07-28T03:55:54.000+0000,0.046969,-0.04036,,,,,,
bf2da389-1b3d-8d00-0bca-390fb5becaf8,GF1B-PMS-LEVEL1A-1228011708,GF1B,PMS,1228011708,,660333,1,22,2021-07-28,128863,17928,0.0,/ARCHIVE/GF1B/Product/LEVEL1A/PMS/20210728/GF1B_PMS_E106.8_N30.8_20210728_L1A1228011708.tar.gz,"POLYGON((106.554532 31.141814,107.238669 31.011293,107.083203 30.414059,106.403264 30.5442,106.554532 31.141814))",GX,LEVEL1A,/ARCHIVE/GF1B/Product/LEVEL1A/PMS/20210728/GF1B_PMS_E106.8_N30.8_20210728_L1A1228011708.jpg,/ARCHIVE/GF1B/Product/LEVEL1A/PMS/20210728/GF1B_PMS_E106.8_N30.8_20210728_L1A1228011708_thumb.jpg,GF1B_PMS,,,,2021-07-28T03:55:54.000+0000,2021-07-28T03:56:04.000+0000,0.046884,-0.04025,,,,,,
fc7f6cbf-d6cd-f606-45e7-b6fb2ae6c2dd,GF1B-PMS-LEVEL1A-1228011716,GF1B,PMS,1228011716,,660335,1,14,2021-07-28,128863,17928,0.0,/ARCHIVE/GF1B/Product/LEVEL1A/PMS/20210728/GF1B_PMS_E106.5_N29.7_20210728_L1A1228011716.tar.gz,"POLYGON((106.273531 30.027355,106.949992 29.897519,106.797226 29.300096,106.124739 29.429578,106.273531 30.027355))",GX,LEVEL1A,/ARCHIVE/GF1B/Product/LEVEL1A/PMS/20210728/GF1B_PMS_E106.5_N29.7_20210728_L1A1228011716.jpg,/ARCHIVE/GF1B/Product/LEVEL1A/PMS/20210728/GF1B_PMS_E106.5_N29.7_20210728_L1A1228011716_thumb.jpg,GF1B_PMS,,,,2021-07-28T03:56:12.000+0000,2021-07-28T03:56:22.000+0000,0.047001,-0.039934,,,,,,
0bf87e85-5e6d-237b-637d-d138bc4adfc3,GF1B-PMS-LEVEL1A-1228003880,GF1B,PMS,1228003880,,652626,1,17,2021-07-12,128616,17692,0.0,/ARCHIVE/GF1B/Product/LEVEL1A/PMS/20210712/GF1B_PMS_E105.5_N31.9_20210712_L1A1228003880.tar.gz,"POLYGON((105.266308 32.29579,105.965147 32.158317,105.80102 31.560064,105.106624 31.697019,105.266308 32.29579))",GX,LEVEL1A,/ARCHIVE/GF1B/Product/LEVEL1A/PMS/20210712/GF1B_PMS_E105.5_N31.9_20210712_L1A1228003880.jpg,/ARCHIVE/GF1B/Product/LEVEL1A/PMS/20210712/GF1B_PMS_E105.5_N31.9_20210712_L1A1228003880_thumb.jpg,GF1B_PMS,,,,2021-07-12T04:05:17.000+0000,2021-07-12T04:05:26.000+0000,6.546453,-0.034441,,,,,,
2efe65e4-bae9-3aaf-095a-c00a236dc70c,GF1B-PMS-LEVEL1A-1228003932,GF1B,PMS,1228003932,,652625,1,19,2021-07-12,128616,17692,0.0,/ARCHIVE/GF1B/Product/LEVEL1A/PMS/20210712/GF1B_PMS_E105.7_N32.4_20210712_L1A1228003932.tar.gz,"POLYGON((105.415983 32.852125,106.118889 32.714199,105.953263 32.116271,105.254919 32.253671,105.415983 32.852125))",GX,LEVEL1A,/ARCHIVE/GF1B/Product/LEVEL1A/PMS/20210712/GF1B_PMS_E105.7_N32.4_20210712_L1A1228003932.jpg,/ARCHIVE/GF1B/Product/LEVEL1A/PMS/20210712/GF1B_PMS_E105.7_N32.4_20210712_L1A1228003932_thumb.jpg,GF1B_PMS,,,,2021-07-12T04:05:07.000+0000,2021-07-12T04:05:17.000+0000,6.546686,-0.03438,,,,,,
6c97b409-73ec-fd44-c2d4-d50a8c67046a,GF1B-PMS-LEVEL1A-1228003908,GF1B,PMS,1228003908,,652628,1,21,2021-07-12,128616,17692,0.0,/ARCHIVE/GF1B/Product/LEVEL1A/PMS/20210712/GF1B_PMS_E105.2_N30.8_20210712_L1A1228003908.tar.gz,"POLYGON((104.970898 31.182448,105.66185 31.045868,105.500819 30.447009,104.814076 30.583106,104.970898 31.182448))",GX,LEVEL1A,/ARCHIVE/GF1B/Product/LEVEL1A/PMS/20210712/GF1B_PMS_E105.2_N30.8_20210712_L1A1228003908.jpg,/ARCHIVE/GF1B/Product/LEVEL1A/PMS/20210712/GF1B_PMS_E105.2_N30.8_20210712_L1A1228003908_thumb.jpg,GF1B_PMS,,,,2021-07-12T04:05:35.000+0000,2021-07-12T04:05:45.000+0000,6.546353,-0.033965,,,,,,
eef9c639-168f-e307-db96-c5dfc9db3e75,GF1B-PMS-LEVEL1A-1228003900,GF1B,PMS,1228003900,,652627,1,18,2021-07-12,128616,17692,0.0,/ARCHIVE/GF1B/Product/LEVEL1A/PMS/20210712/GF1B_PMS_E105.4_N31.3_20210712_L1A1228003900.tar.gz,"POLYGON((105.117949 31.73913,105.812894 31.602089,105.650367 31.003522,104.959747 31.140061,105.117949 31.73913))",GX,LEVEL1A,/ARCHIVE/GF1B/Product/LEVEL1A/PMS/20210712/GF1B_PMS_E105.4_N31.3_20210712_L1A1228003900.jpg,/ARCHIVE/GF1B/Product/LEVEL1A/PMS/20210712/GF1B_PMS_E105.4_N31.3_20210712_L1A1228003900_thumb.jpg,GF1B_PMS,,,,2021-07-12T04:05:26.000+0000,2021-07-12T04:05:36.000+0000,6.546258,-0.033893,,,,,,
0f0bbf0b-1bf2-7c3d-99eb-dd500894b3f9,GF1B-PMS-LEVEL1A-1228003618,GF1B,PMS,1228003618,,652072,1,43,2021-07-11,128604,17677,0.0,/ARCHIVE/GF1B/Product/LEVEL1A/PMS/20210711/GF1B_PMS_E109.8_N28.5_20210711_L1A1228003618.tar.gz,"POLYGON((109.569361 28.910927,110.235888 28.782234,110.086109 28.186796,109.423293 28.315164,109.569361 28.910927))",GX,LEVEL1A,/ARCHIVE/GF1B/Product/LEVEL1A/PMS/20210711/GF1B_PMS_E109.8_N28.5_20210711_L1A1228003618.jpg,/ARCHIVE/GF1B/Product/LEVEL1A/PMS/20210711/GF1B_PMS_E109.8_N28.5_20210711_L1A1228003618_thumb.jpg,GF1B_PMS,,,,2021-07-11T03:42:26.000+0000,2021-07-11T03:42:36.000+0000,0.047791,-0.040775,,,,,,
61bd1b6b-1141-625c-472c-632482159795,GF1B-PMS-LEVEL1A-1228001860,GF1B,PMS,1228001860,,650479,1,37,2021-07-08,128554,17633,0.0,/ARCHIVE/GF1B/Product/LEVEL1A/PMS/20210708/GF1B_PMS_E106.0_N31.9_20210708_L1A1228001860.tar.gz,"POLYGON((105.775539 32.355647,106.521437 32.203299,106.345394 31.590503,105.604305 31.742122,105.775539 32.355647))",GX,LEVEL1A,/ARCHIVE/GF1B/Product/LEVEL1A/PMS/20210708/GF1B_PMS_E106.0_N31.9_20210708_L1A1228001860.jpg,/ARCHIVE/GF1B/Product/LEVEL1A/PMS/20210708/GF1B_PMS_E106.0_N31.9_20210708_L1A1228001860_thumb.jpg,GF1B_PMS,,,,2021-07-08T04:07:38.000+0000,2021-07-08T04:07:48.000+0000,15.222701,-0.039955,,,,,,
960fc461-8311-c3b5-4d1b-7ef596512874,GF1B-PMS-LEVEL1A-1228001888,GF1B,PMS,1228001888,,650478,1,22,2021-07-08,128554,17633,0.0,/ARCHIVE/GF1B/Product/LEVEL1A/PMS/20210708/GF1B_PMS_E106.2_N32.4_20210708_L1A1228001888.tar.gz,"POLYGON((105.931867 32.912092,106.681896 32.759135,106.504013 32.146797,105.75892 32.298999,105.931867 32.912092))",GX,LEVEL1A,/ARCHIVE/GF1B/Product/LEVEL1A/PMS/20210708/GF1B_PMS_E106.2_N32.4_20210708_L1A1228001888.jpg,/ARCHIVE/GF1B/Product/LEVEL1A/PMS/20210708/GF1B_PMS_E106.2_N32.4_20210708_L1A1228001888_thumb.jpg,GF1B_PMS,,,,2021-07-08T04:07:29.000+0000,2021-07-08T04:07:39.000+0000,15.222346,-0.040205,,,,,,
